Name ,Abbrev ,Status ,Fall ,Year ,Place ,Type ,Mass,MetBull ,Antarctic 
Miller Range 090532 **,MIL 090532,Official,,2009,Antarctica,CM2,6.9 g,101,35(2)   ANSMET
Yamato 790123,Y-790123,Official,,1979,Antarctica,CM2,6.8 g,,J6(1)   NIPR
Miller Range 11040 **,MIL 11040,Official,,2011,Antarctica,CM2,6.8 g,101,35(2)   ANSMET
Yamato 981288,Y-981288,Official,,1998,Antarctica,CM2,6.7 g,98,J19   NIPR
Roberts Massif 03523 **,RBT 03523,Official,,2003,Antarctica,CM2,6.7 g,89,28(1)   ANSMET
Northwest Africa 8301 **,NWA 8301,Official,,2013,Morocco,CM2,6.7 g,103,
Yamato 981945,Y-981945,Official,,1998,Antarctica,CM2,6.6 g,99,J20   NIPR
Yamato 981268,Y-981268,Official,,1998,Antarctica,CM2,6.6 g,98,J19   NIPR
Yamato 86700,Y-86700,Official,,1986,Antarctica,CM2,6.6 g,,  NIPR
LaPaz Icefield 04675 **,LAP 04675,Official,,2004,Antarctica,CM2,6.6 g,94,30(2)   ANSMET
Miller Range 11025 **,MIL 11025,Official,,2011,Antarctica,CM2,6.6 g,104,38(1)   ANSMET
Yamato 980088,Y-980088,Official,,1998,Antarctica,CM2,6.5 g,,J16   NIPR
Yamato 86699,Y-86699,Official,,1986,Antarctica,CM2,6.5 g,,  NIPR
Northwest Africa 6720 **,NWA 6720,Official,,2011,(Northwest Africa),CM2,6.5 g,100,
Lewis Cliff 85306 **,LEW 85306,Official,,1985,Antarctica,CM2-an,6.5 g,76,9(3)   ANSMET
Miller Range 090994 **,MIL 090994,Official,,2009,Antarctica,CM2,6.5 g,100,35(1)   ANSMET
Lewis Cliff 86009 **,LEW 86009,Official,,1986,Antarctica,CM2,6.5 g,76,10(2)   ANSMET
Yamato 981290,Y-981290,Official,,1998,Antarctica,CM2,6.4 g,98,J19   NIPR
Scott Glacier 06042 **,SCO 06042,Official,,2006,Antarctica,CM2,6.4 g,94,31(1)   ANSMET
Miller Range 090283 **,MIL 090283,Official,,2009,Antarctica,CM2,6.4 g,101,35(2)   ANSMET
Yamato 86697,Y-86697,Official,,1986,Antarctica,CM2,6.3 g,,  NIPR
MacKay Glacier 05231 **,MCY 05231,Official,,2005,Antarctica,CM1/2,6.2 g,92,29(2)   ANSMET
Elephant Moraine 15059 **,EET 15059,Official,,2015,"Antarctica, Antarctica",CM2,6.2 g,113,  KOREAMET
Dominion Range 08016 **,DOM 08016,Official,,2008,Antarctica,CM2,6.2 g,98,33(1)   ANSMET
Dhofar 1619 **,Dho 1619,Official,,2007,"Zufar, Oman",CM2,6.2 g,99,
Allan Hills 84030 **,ALH 84030,Official,,1984,Antarctica,CM2,6.2 g,76,8(2)   ANSMET
Yamato 86698,Y-86698,Official,,1986,Antarctica,CM2,6.1 g,,  NIPR
Meteorite Hills 00434 **,MET 00434,Official,,2000,Antarctica,CM2,6.1 g,86,24(2)   ANSMET
Yamato 980070,Y-980070,Official,,1998,Antarctica,CM2,6 g,,J16   NIPR
Northwest Africa 11792 **,NWA 11792,Official,,2017,(Northwest Africa),CM2,6 g,107,
Elephant Moraine 99437 **,EET 99437,Official,,1999,Antarctica,CM2,6 g,85,24(1)   ANSMET
Dhofar 2106 **,Dho 2106,Official,,2010,"Zufar, Oman",CM2,6 g,109,
Northwest Africa 13150 **,NWA 13150,Official,,2019,(Northwest Africa),CM2,5.9 g,109,
Meteorite Hills 00810 **,MET 00810,Official,,2000,Antarctica,CM2,5.9 g,87,26(1)   ANSMET
Elephant Moraine 96018 **,EET 96018,Official,,1996,Antarctica,CM2,5.9 g,82,21(1)   ANSMET
Dominion Range 18396 **,DOM 18396,Official,,2018,Antarctica,CM2,5.8 g,112,46(1)   ANSMET
Yamato 793500,Y-793500,Official,,1979,Antarctica,CM2,5.7 g,,  NIPR
Miller Range 07701,MIL 07701,Official,,2007,Antarctica,CM2,5.7 g,98,33(1)   ANSMET
Yamato 8412,Y-8412,Official,,1984,Antarctica,CM2,5.6 g,,  NIPR
Lewis Cliff 86008 **,LEW 86008,Official,,1986,Antarctica,CM2,5.6 g,76,10(2)   ANSMET
Yamato 981632,Y-981632,Official,,1998,Antarctica,CM2,5.5 g,98,J19   NIPR
Yamato 980036,Y-980036,Official,,1998,Antarctica,CM2,5.5 g,,J16   NIPR
Yamato 980091 **,Y-980091,Official,,1998,Antarctica,CM2,5.4 g,,J16   NIPR
Miller Range 15347 **,MIL 15347,Official,,2015,Antarctica,CM1,5.4 g,108,42(2)   ANSMET
Meteorite Hills 00781 **,MET 00781,Official,,2000,Antarctica,CM2,5.4 g,87,26(1)   ANSMET
Elephant Moraine 92005 **,EET 92005,Official,,1992,Antarctica,CM2,5.4 g,79,17(1)   ANSMET
Miller Range 13078 **,MIL 13078,Official,,2013,Antarctica,CM2,5.4 g,105,39(2)   ANSMET
Yamato 980399 **,Y-980399,Official,,1998,Antarctica,CM2,5.3 g,,J18   NIPR
Elephant Moraine 96011 **,EET 96011,Official,,1996,Antarctica,CM2,5.3 g,82,21(1)   ANSMET
Pecora Escarpment 91327 **,PCA 91327,Official,,1991,Antarctica,CM2,5.2 g,76,16(2)   ANSMET
Dominion Range 08009 **,DOM 08009,Official,,2008,Antarctica,CM2,5.2 g,98,33(1)   ANSMET
Allan Hills 84053 **,ALH 84053,Official,,1984,Antarctica,CM2,5.2 g,76,9(2)   ANSMET
Miller Range 07692 **,MIL 07692,Official,,2007,Antarctica,CM2,5.2 g,98,33(1)   ANSMET
Miller Range 15450 **,MIL 15450,Official,,2015,Antarctica,CM2,5.1 g,108,42(2)   ANSMET
Elephant Moraine 96007,EET 96007,Official,,1996,Antarctica,CM2,5.1 g,82,21(1)   ANSMET
Allan Hills A78261 **,ALHA78261,Official,,1978,Antarctica,CM2,5.1 g,76,3(2)   ANS-NIPR
Miller Range 07682 **,MIL 07682,Official,,2007,Antarctica,CM2,5.1 g,98,33(1)   ANSMET
Northwest Africa 4757 **,NWA 4757,Official,,2004,Morocco,CM2,5 g,93,
Grove Mountains 050179 **,GRV 050179,Official,,2006,Antarctica,CM2,5 g,93,  CARE
Yamato 82099,Y-82099,Official,,1982 or 1983,Antarctica,CM2,4.93 g,,  NIPR
Yamato 86694,Y-86694,Official,,1986,Antarctica,CM2,4.91 g,,  NIPR
Miller Range 090992 **,MIL 090992,Official,,2009,Antarctica,CM1/2,4.9 g,100,35(1)   ANSMET
Miller Range 15231 **,MIL 15231,Official,,2015,Antarctica,CM2,4.9 g,106,40(1)   ANSMET
Northwest Africa 10908 **,NWA 10908,Official,,2016,Morocco,CM2,4.86 g,106,
Asuka 87125,A-87125,Official,,1987,Antarctica,CM2,4.81 g,110,J28   NIPR
Yamato 981720,Y-981720,Official,,1998,Antarctica,CM,4.8 g,102,J22   NIPR
Queen Alexandra Range 94222 **,QUE 94222,Official,,1994,Antarctica,CM2,4.8 g,79,19(1)   ANSMET
Northwest Africa 11024 **,NWA 11024,Official,,2014,(Northwest Africa),CM-an,4.7 g,106,
Allan Hills A81004 **,ALHA81004,Official,,1981,Antarctica,CM2,4.7 g,76,6(1)   ANSMET
Lewis Cliff 86005 **,LEW 86005,Official,,1986,Antarctica,CM2,4.7 g,76,10(2)   ANSMET
Yamato 86015,Y-86015,Official,,1986,Antarctica,CM2,4.64 g,,  NIPR
Yamato 74641,Y-74641,Official,,1974,Antarctica,CM2,4.59 g,,J3(1)   NIPR
Meteorite Hills 01071 **,MET 01071,Official,,2001,Antarctica,CM2,4.5 g,87,25(2)   ANSMET
Yamato 86701,Y-86701,Official,,1986,Antarctica,CM2,4.46 g,,  NIPR
Allan Hills 84047 **,ALH 84047,Official,,1984,Antarctica,CM2,4.4 g,76,9(2)   ANSMET
Miller Range 15468 **,MIL 15468,Official,,2015,Antarctica,CM2,4.3 g,108,42(2)   ANSMET
Pecora Escarpment 91203 **,PCA 91203,Official,,1991,Antarctica,CM2,4.2 g,76,16(1)   ANSMET
LaPaz Icefield 031022 **,LAP 031022,Official,,2002,Antarctica,CM2,4.2 g,91,28(2)   ANSMET
Miller Range 07674 **,MIL 07674,Official,,2007,Antarctica,CM2,4.2 g,98,33(1)   ANSMET
Yamato 982585,Y-982585,Official,,1998,Antarctica,CM,4.16 g,101,J21   NIPR
Yamato 980095,Y-980095,Official,,1998,Antarctica,CM2,4.13 g,,J16   NIPR
Northwest Africa 13844 **,NWA 13844,Official,,2020,(Northwest Africa),CM2,4.13 g,110,
Yamato 981658,Y-981658,Official,,1998,Antarctica,CM,4.11 g,104,J24   NIPR
Elephant Moraine 16097 **,EET 16097,Official,,2016,Antarctica,CM2,4.1 g,106,40(2)   ANSMET
Allan Hills 83016 **,ALH 83016,Official,,1983,Antarctica,CM2,4.1 g,76,8(1)   ANSMET
Miller Range 07497 **,MIL 07497,Official,,2007,Antarctica,CM2,4.1 g,98,33(1)   ANSMET
Lewis Cliff 87001 **,LEW 87001,Official,,1987,Antarctica,CM2,4 g,76,11(2)   ANSMET
Yamato 981760,Y-981760,Official,,1998,Antarctica,CM2,3.99 g,109,J27   NIPR
Yamato 981265,Y-981265,Official,,1998,Antarctica,CM2,3.97 g,109,J27   NIPR
Allan Hills 85012 **,ALH 85012,Official,,1985,Antarctica,CM2,3.9 g,76,10(1)   ANSMET
Northwest Africa 11732 **,NWA 11732,Official,,2017,(Northwest Africa),CM2.0,3.8 g,107,
Yamato 981946,Y-981946,Official,,1998,Antarctica,CM2,3.73 g,99,J20   NIPR
Yamato 794079,Y-794079,Official,,1979,Antarctica,CM2,3.72 g,,  NIPR
Yamato 980087,Y-980087,Official,,1998,Antarctica,CM2,3.69 g,,J16   NIPR
Dominion Range 18636 **,DOM 18636,Official,,2018,Antarctica,CM2,3.62 g,108,42(2)   ANSMET
Grove Mountains 020025 **,GRV 020025,Official,,2002,Antarctica,CM2,3.6 g,89,  CARE
Elephant Moraine 16100 **,EET 16100,Official,,2016,Antarctica,CM1,3.6 g,106,40(2)   ANSMET
Yamato 982542,Y-982542,Official,,1998,Antarctica,CM2,3.58 g,110,J28   NIPR
MacAlpine Hills 02755 **,MAC 02755,Official,,2002,Antarctica,CM2,3.52 g,89,28(1)   ANSMET
Elephant Moraine 16079 **,EET 16079,Official,,2016,Antarctica,CM2,3.5 g,106,40(2)   ANSMET
Queen Alexandra Range 97657 **,QUE 97657,Official,,1997,Antarctica,CM2,3.5 g,85,23(2)   ANSMET
Queen Alexandra Range 93004 **,QUE 93004,Official,,1993,Antarctica,CM2,3.5 g,79,17(3)   ANSMET
Grove Mountains 13051 **,GRV 13051,Official,,2014,Antarctica,CM2,3.47 g,103,  CARE
Yamato 981975,Y-981975,Official,,1998,Antarctica,CM2,3.45 g,99,J20   NIPR
Miller Range 15304 **,MIL 15304,Official,,2015,Antarctica,CM2,3.38 g,108,42(2)   ANSMET
Yamato 793530,Y-793530,Official,,1979,Antarctica,CM2,3.33 g,,  NIPR
Yamato 82090,Y-82090,Official,,1982,Antarctica,CM2,3.31 g,,  NIPR
Reckling Peak 17075 **,RKP 17075,Official,,2018,Antarctica,CM1,3.3 g,110,  PNRA
Northwest Africa 11733 **,NWA 11733,Official,,2017,(Northwest Africa),CM2,3.3 g,107,
Yamato 8452,Y-8452,Official,,1984,Antarctica,CM2,3.29 g,,  NIPR
Yamato 982591,Y-982591,Official,,1998,Antarctica,CM,3.24 g,101,J21   NIPR
Miller Range 15305 **,MIL 15305,Official,,2015,Antarctica,CM2,3.23 g,108,42(2)   ANSMET
Yamato 86702,Y-86702,Official,,1986,Antarctica,CM2,3.2 g,,  NIPR
Allan Hills 85010 **,ALH 85010,Official,,1985,Antarctica,CM2,3.2 g,76,10(1)   ANSMET
Allan Hills 84050 **,ALH 84050,Official,,1984,Antarctica,CM2,3.2 g,76,9(2)   ANSMET
Allan Hills 84035 **,ALH 84035,Official,,1984,Antarctica,CM2,3.2 g,76,9(2)   ANSMET
Miller Range 11272 **,MIL 11272,Official,,2011,Antarctica,CM1/2,3.1 g,103,37(2)   ANSMET
Lewis Cliff 87249 **,LEW 87249,Official,,1987,Antarctica,CM2,3.1 g,76,11(2)   ANSMET
Yamato 980512,Y-980512,Official,,1998,Antarctica,CM2,3.09 g,110,J28   NIPR
Yamato 86736,Y-86736,Official,,1986,Antarctica,CM2,3.09 g,,  NIPR
Yamato 982070,Y-982070,Official,,1998,Antarctica,CM2,3.03 g,99,J20   NIPR
Miller Range 07668 **,MIL 07668,Official,,2007,Antarctica,CM2,3 g,98,32(2)   ANSMET
Yamato 982592,Y-982592,Official,,1998,Antarctica,CM2,2.96 g,110,J28   NIPR
Miller Range 13139 **,MIL 13139,Official,,2013,Antarctica,CM2,2.94 g,104,38(2)   ANSMET
Miller Range 15408 **,MIL 15408,Official,,2015,Antarctica,CM2,2.87 g,108,42(2)   ANSMET
Miller Range 13329 **,MIL 13329,Official,,2013,Antarctica,CM2,2.85 g,104,38(2)   ANSMET
Pecora Escarpment 91147 **,PCA 91147,Official,,1991,Antarctica,CM2,2.8 g,76,16(1)   ANSMET
Northwest Africa 16406 **,NWA 16406,Official,,2023,(Northwest Africa),CM2,2.8 g,113,
Allan Hills 84036 **,ALH 84036,Official,,1984,Antarctica,CM2,2.8 g,76,9(2)   ANSMET
Miller Range 05112 **,MIL 05112,Official,,2005,Antarctica,CM2,2.8 g,92,29(2)   ANSMET
Queen Alexandra Range 97621 **,QUE 97621,Official,,1997,Antarctica,CM2,2.8 g,84,23(1)   ANSMET
Asuka 881184,A-881184,Official,,1988,Antarctica,CM2,2.7 g,110,J28   NIPR
Allan Hills 85106 **,ALH 85106,Official,,1985,Antarctica,CM2,2.7 g,76,10(2)   ANSMET
Queen Alexandra Range 93006 **,QUE 93006,Official,,1993,Antarctica,CM2,2.7 g,79,17(3)   ANSMET
Yamato 980037,Y-980037,Official,,1998,Antarctica,CM,2.68 g,107,J26   NIPR
Pecora Escarpment 02011 **,PCA 02011,Official,,2002,Antarctica,CM2,2.6 g,88,27(1)   ANSMET
Miller Range 05124 **,MIL 05124,Official,,2005,Antarctica,CM2,2.6 g,92,29(2)   ANSMET
Miller Range 13322 **,MIL 13322,Official,,2013,Antarctica,CM2,2.6 g,106,40(1)   ANSMET
Queen Alexandra Range 94220 **,QUE 94220,Official,,1994,Antarctica,CM2,2.6 g,79,19(1)   ANSMET
Yamato 980111,Y-980111,Official,,1998,Antarctica,CM,2.58 g,107,J26   NIPR
Miller Range 13119 **,MIL 13119,Official,,2013,Antarctica,CM2,2.58 g,104,38(2)   ANSMET
Yamato 980038,Y-980038,Official,,1998,Antarctica,CM,2.56 g,107,J26   NIPR
Yamato 980084,Y-980084,Official,,1998,Antarctica,CM,2.54 g,107,J26   NIPR
Asuka 10167,A 10167,Official,,2010,Antarctica,CM,2.53 g,103,J23   NIPR-RBINS
Yamato 980097,Y-980097,Official,,1998,Antarctica,CM2,2.52 g,,J16   NIPR
Yamato 980493,Y-980493,Official,,1998,Antarctica,CM2,2.51 g,110,J28   NIPR
Yamato 8403,Y-8403,Official,,1984,Antarctica,CM2,2.51 g,,  NIPR
Elephant Moraine 15029 **,EET 15029,Official,,2015,"Antarctica, Antarctica",CM2,2.5 g,113,  KOREAMET
Elephant Moraine 83334 **,EET 83334,Official,,1983,Antarctica,CM1,2.5 g,76,10(2)   ANSMET
Miller Range 07680 **,MIL 07680,Official,,2007,Antarctica,CM2,2.5 g,98,33(1)   ANSMET
Miller Range 07310 **,MIL 07310,Official,,2007,Antarctica,CM1/2,2.5 g,101,34(1)   ANSMET
Yamato 980083,Y-980083,Official,,1998,Antarctica,CM,2.45 g,107,J26   NIPR
Grosvenor Mountains 95645 **,GRO 95645,Official,,1995,Antarctica,CM1,2.42 g,82,21(1)   ANSMET
Meteorite Hills 00435 **,MET 00435,Official,,2000,Antarctica,CM2,2.4 g,86,24(2)   ANSMET
Miller Range 05137 **,MIL 05137,Official,,2005,Antarctica,CM1,2.4 g,92,29(2)   ANSMET
Queen Alexandra Range 97676 **,QUE 97676,Official,,1997,Antarctica,CM2,2.4 g,84,23(1)   ANSMET
Yamato 982555,Y-982555,Official,,1998,Antarctica,CM2,2.38 g,110,J28   NIPR
Yamato 980535,Y-980535,Official,,1998,Antarctica,CM2,2.38 g,109,J27   NIPR
Miller Range 15409 **,MIL 15409,Official,,2015,Antarctica,CM2,2.38 g,108,42(2)   ANSMET
Yamato 982588,Y-982588,Official,,1998,Antarctica,CM2,2.35 g,110,J28   NIPR
Yamato 981279,Y-981279,Official,,1998,Antarctica,CM2,2.35 g,110,J28   NIPR
Elephant Moraine 96014 **,EET 96014,Official,,1996,Antarctica,CM2,2.34 g,82,21(1)   ANSMET
Yamato 980199,Y-980199,Official,,1998,Antarctica,CM,2.31 g,107,J26   NIPR
Miller Range 13324 **,MIL 13324,Official,,2013,Antarctica,CM2,2.3 g,106,40(1)   ANSMET
Meteorite Hills 00635 **,MET 00635,Official,,2000,Antarctica,CM2,2.27 g,93,26(1)   ANSMET
Asuka 12169,A 12169,Official,,2012,Antarctica,CM,2.26 g,105,J25   NIPR-RBINS
Yamato 982596,Y-982596,Official,,1998,Antarctica,CM2,2.2 g,110,J28   NIPR
Northwest Africa 11841 **,NWA 11841,Official,,2018,(Northwest Africa),CM2,2.2 g,107,
Grove Mountains 020017 **,GRV 020017,Official,,2002,Antarctica,CM2,2.2 g,89,  CARE
Elephant Moraine 96013 **,EET 96013,Official,,1996,Antarctica,CM2,2.13 g,82,21(1)   ANSMET
MacKay Glacier 14014 **,MCY 14014,Official,,2015,Antarctica,CM2,2.1 g,108,  PNRA
MacKay Glacier 14004 **,MCY 14004,Official,,2015,Antarctica,CM2,2.1 g,108,  PNRA
Elephant Moraine 96226 **,EET 96226,Official,,1996,Antarctica,CM2,2.1 g,83,21(2)   ANSMET
Miller Range 07460 **,MIL 07460,Official,,2007,Antarctica,CM1,2.1 g,101,34(1)   ANSMET
Miller Range 090487 **,MIL 090487,Official,,2009,Antarctica,CM1/2,2.1 g,100,34(2)   ANSMET
Lewis Cliff 86004 **,LEW 86004,Official,,1986,Antarctica,CM2,2.1 g,76,10(2)   ANSMET
Lewis Cliff 87003 **,LEW 87003,Official,,1987,Antarctica,CM2,2.1 g,76,11(2)   ANSMET
Yamato 980363,Y-980363,Official,,1998,Antarctica,CM,2.09 g,107,J26   NIPR
Yamato 980496,Y-980496,Official,,1998,Antarctica,CM2,2.07 g,110,J28   NIPR
Yamato 980507,Y-980507,Official,,1998,Antarctica,CM2,2.04 g,110,J28   NIPR
MacKay Glacier 05242 **,MCY 05242,Official,,2005,Antarctica,CM2,2 g,92,29(2)   ANSMET
LaPaz Icefield 04527 **,LAP 04527,Official,,2004,Antarctica,CM2,2 g,94,30(2)   ANSMET
Miller Range 090993 **,MIL 090993,Official,,2009,Antarctica,CM1/2,2 g,100,35(1)   ANSMET
Miller Range 090700 **,MIL 090700,Official,,2009,Antarctica,CM2,2 g,100,35(1)   ANSMET
Miller Range 13169 **,MIL 13169,Official,,2013,Antarctica,CM2,2 g,106,40(1)   ANSMET
LaPaz Icefield 02422 **,LAP 02422,Official,,2002,Antarctica,CM1,1.99 g,89,27(3)   ANSMET
Yamato 982619,Y-982619,Official,,1998,Antarctica,CM2,1.97 g,110,J28   NIPR
Miller Range 15303 **,MIL 15303,Official,,2015,Antarctica,CM2,1.96 g,108,42(2)   ANSMET
Yamato 982617,Y-982617,Official,,1998,Antarctica,CM2,1.92 g,110,J28   NIPR
Yamato 980511,Y-980511,Official,,1998,Antarctica,CM2,1.88 g,110,J28   NIPR
Yamato 794082,Y-794082,Official,,1979,Antarctica,CM2,1.88 g,,  NIPR
Yamato 980495,Y-980495,Official,,1998,Antarctica,CM2,1.87 g,110,J28   NIPR
Northwest Africa 11839 **,NWA 11839,Official,,2017,(Northwest Africa),CM2,1.84 g,107,
Yamato 981270,Y-981270,Official,,1998,Antarctica,CM2,1.8 g,109,J27   NIPR
Northwest Africa 11840 **,NWA 11840,Official,,2018,(Northwest Africa),CM2,1.8 g,107,
Northwest Africa 11461 **,NWA 11461,Official,,2017,(Northwest Africa),CM2,1.8 g,106,
LaPaz Icefield 031079 **,LAP 031079,Official,,2003,Antarctica,CM1,1.8 g,92,29(2)   ANSMET
Miller Range 07672 **,MIL 07672,Official,,2007,Antarctica,CM2,1.8 g,98,33(1)   ANSMET
Miller Range 13321 **,MIL 13321,Official,,2013,Antarctica,CM2,1.8 g,106,40(1)   ANSMET
Miller Range 13326 **,MIL 13326,Official,,2013,Antarctica,CM2,1.8 g,106,40(1)   ANSMET
Queen Alexandra Range 97958 **,QUE 97958,Official,,1997,Antarctica,CM2,1.8 g,85,23(2)   ANSMET
Asuka 10111,A 10111,Official,,2010,Antarctica,CM2,1.76 g,103,J23   NIPR-RBINS
Yamato 001710,Y-001710,Official,,2000,Antarctica,CM,1.73 g,105,J25   NIPR
Yamato 980243,Y-980243,Official,,1998,Antarctica,CM,1.73 g,107,J26   NIPR
Larkman Nunatak 04319 **,LAR 04319,Official,,2003,Antarctica,CM2,1.7 g,91,28(2)   ANSMET
LaPaz Icefield 04824 **,LAP 04824,Official,,2004,Antarctica,CM1,1.7 g,94,30(2)   ANSMET
Elephant Moraine 16127 **,EET 16127,Official,,2016,Antarctica,CM2,1.7 g,106,40(2)   ANSMET
Elephant Moraine 15117 **,EET 15117,Official,,2015,"Antarctica, Antarctica",CM2,1.7 g,113,  KOREAMET
Queen Alexandra Range 99342 **,QUE 99342,Official,,1999,Antarctica,CM2,1.7 g,86,25(1)   ANSMET
Miller Range 05086 **,MIL 05086,Official,,2005,Antarctica,CM2,1.7 g,92,30(1)   ANSMET
Lewis Cliff 85307 **,LEW 85307,Official,,1985,Antarctica,CM2-an,1.7 g,76,10(1)   ANSMET
Lewis Cliff 88003 **,LEW 88003,Official,,1988,Antarctica,CM2,1.7 g,76,13(2)   ANSMET
Yamato 980636,Y-980636,Official,,1998,Antarctica,CM2,1.69 g,110,J28   NIPR
Yamato 86703,Y-86703,Official,,1986,Antarctica,CM2,1.69 g,,  NIPR
Yamato 86716,Y-86716,Official,,1986,Antarctica,CM2,1.61 g,,  NIPR
Yamato 75003,Y-75003,Official,,1975,Antarctica,CM2,1.61 g,,  NIPR
Meteorite Hills 001087 **,MET 001087,Official,,2000,Antarctica,CM2,1.6 g,87,26(1)   ANSMET
Lewis Cliff 86007 **,LEW 86007,Official,,1986,Antarctica,CM2,1.6 g,76,10(2)   ANSMET
Yamato 982597,Y-982597,Official,,1998,Antarctica,CM2,1.57 g,110,J28   NIPR
Yamato 982618,Y-982618,Official,,1998,Antarctica,CM2,1.56 g,110,J28   NIPR
Yamato 981947,Y-981947,Official,,1998,Antarctica,CM2,1.56 g,110,J28   NIPR
Elephant Moraine 92103 **,EET 92103,Official,,1992,Antarctica,CM2,1.5 g,79,17(3)   ANSMET
Elephant Moraine 92008 **,EET 92008,Official,,1992,Antarctica,CM2,1.5 g,79,17(1)   ANSMET
Allan Hills 84046 **,ALH 84046,Official,,1984,Antarctica,CM2,1.5 g,76,9(2)   ANSMET
Yamato 86704,Y-86704,Official,,1986,Antarctica,CM2,1.49 g,,  NIPR
Yamato 794019,Y-794019,Official,,1979,Antarctica,CM2,1.47 g,,  NIPR
Grove Mountains 021536 **,GRV 021536,Official,,2003,Antarctica,CM2,1.45 g,93,  CARE
Reckling Peak 17085 **,RKP 17085,Official,,2018,Antarctica,CM2,1.4 g,110,  PNRA
Miller Range 090986 **,MIL 090986,Official,,2009,Antarctica,CM1/2,1.4 g,100,35(1)   ANSMET
Lewis Cliff 87167 **,LEW 87167,Official,,1987,Antarctica,CM2,1.4 g,76,11(2)   ANSMET
Lewis Cliff 87008 **,LEW 87008,Official,,1987,Antarctica,CM2,1.4 g,76,11(2)   ANSMET
Yamato 982593,Y-982593,Official,,1998,Antarctica,CM2,1.39 g,110,J28   NIPR
Queen Alexandra Range 99752 **,QUE 99752,Official,,1999,Antarctica,CM2,1.38 g,93,26(1)   ANSMET
Yamato 980071,Y-980071,Official,,1998,Antarctica,CM2,1.36 g,,J16   NIPR
Yamato 790033,Y-790033,Official,,1979,Antarctica,CM2,1.36 g,,  NIPR
Elephant Moraine 96005 **,EET 96005,Official,,1996,Antarctica,CM2,1.36 g,82,21(1)   ANSMET
Yamato 980089,Y-980089,Official,,1998,Antarctica,CM,1.34 g,107,J26   NIPR
